,Items,Qty
0,Garlic naan,53
1,Butter chicken,29
2,Onion kulcha,23
3,Lacha paratha,20
4,Fish curry,19
5,Tasty flatbread,17
6,Naan,17
7,Rasmalai,17
8,Tandoori roti,16
9,Rice,14
10,Chaat papri,14
11,Vegetable pakora,13
12,Malpura,11
13,Malai kofta,10
14,Fish pakora,10
15,Tikka rice bowl : paneer | chicken,10
16,Chicken tikka masala,9
17,Coconut chicken curry,9
18,Gulabjamun,9
19,Kadahi paneer,9
20,Chicken biryani,8
21,Gobi manchurian,8
22,Kheer,7
23,Cocktail chicken samosas,7
24,Chicken saag,6
25,Paneer vindaloo,6
